Rl_,fn_,D_,M_,Effi_,SampleT_
201,0.88,0.408320000000018,1.05974229580792,97.6996437367738,2.90000000000012e-06
201,0.89,0.412960000000018,1.05069678025631,97.6923021398486,2.90000000000012e-06
201,0.9,0.403199999999604,1.04161707666503,97.6773918313179,2.79999999999725e-06
201,0.91,0.407679999999599,1.03292192233615,97.6602714399484,2.79999999999725e-06
201,0.92,0.412159999999595,1.02432388629641,97.6565636702512,2.79999999999725e-06
201,0.93,0.416639999999591,1.02432388629641,97.6565636702512,2.79999999999725e-06
201,0.94,0.421120000003761,1.01597648391344,97.636771827438,2.800000000025e-06
201,0.95,0.425599999999582,1.00785046542374,97.6403741642538,2.79999999999725e-06
201,0.96,0.430079999999577,1.00785046542374,97.6403741642538,2.79999999999725e-06
201,0.97,0.434559999999573,1.00006554662223,97.648975169943,2.79999999999725e-06
